Date,;Region,;Trigger,;Weak Layer,Depth_inches,Vertical_inches,;Aspect,Elevation_feet,Coordinates
2013-03-24,Provo,Skier,New Snow/Old Snow Interface,15,1800.0,Southeast,9100.0,"40.577130000000, -111.577492000000"
2013-03-23,Salt Lake,Snowboarder,New Snow/Old Snow Interface,12,3000.0,North,9800.0,"40.605439000000, -111.618956000000"
2013-03-24,Salt Lake,Skier,New Snow/Old Snow Interface,21,4800.0,North,9500.0,"40.598802000000, -111.702290000000"
2013-03-25,Salt Lake,Skier,New Snow/Old Snow Interface,18,21000.0,Southeast,10800.0,"40.591242000000, -111.666026000000"
2013-03-25,Moab,Snowmobiler,Facets,48,2400.0,North,9800.0,"40.812705000000, -110.905523000000"
2013-04-02,Uintas,Natural,New Snow/Old Snow Interface,10,1800.0,Northeast,10200.0,"40.839496000000, -111.069245000000"
2013-04-03,Uintas,Natural,Depth Hoar,48,4800.0,Northeast,10600.0,"40.843359000000, -111.020236000000"
2013-04-09,Salt Lake,Snowboarder,New Snow/Old Snow Interface,10,4200.0,Northeast,10500.0,"40.591046000000, -111.558952000000"
2013-04-09,Salt Lake,Snowboarder,New Snow/Old Snow Interface,9,480.0,Southeast,9500.0,"40.597564000000, -111.617575000000"
2013-04-10,Salt Lake,Skier,New Snow/Old Snow Interface,10,7200.0,East,9800.0,"40.638517000000, -111.576762000000"
2013-04-11,Salt Lake,Skier,New Snow/Old Snow Interface,8,18000.0,East,9900.0,"40.629000000000, -111.666412000000"
2013-04-11,Uintas,Natural,Facets,60,9600.0,North,11000.0,"40.732169000000, -110.892992000000"
2013-04-18,Skyline,Natural,New Snow,1,3600.0,Southeast,10500.0,"39.519138000000, -111.295280000000"
2013-04-20,Salt Lake,Skier,New Snow/Old Snow Interface,10,3600.0,East,10300.0,"40.590395000000, -111.608219000000"
2013-04-20,Salt Lake,Natural,Density Change,14,4200.0,Northeast,10400.0,"40.578499000000, -111.598091000000"
2013-04-20,Salt Lake,Natural,New Snow,6,1800.0,Northeast,9800.0,"40.650377000000, -111.591182000000"
2013-04-21,Salt Lake,Snowboarder,New Snow/Old Snow Interface,12,12000.0,East,10400.0,"40.584189000000, -111.598284000000"
2013-04-21,Salt Lake,Skier,New Snow/Old Snow Interface,8,5400.0,South,10000.0,"40.594957000000, -111.652594000000"
2013-04-21,Salt Lake,Natural,Wet grains,6,24000.0,East,11000.0,"40.546678000000, -111.724777000000"
2013-04-27,Logan,Natural,New Snow,7,12000.0,East,11200.0,"40.709695000000, -111.024613000000"
2013-05-05,Salt Lake,Natural,Wet grains,18,8400.0,Southwest,11000.0,"40.532165000000, -111.706624000000"
2009-11-23,Salt Lake,Skier,New Snow,10,3600.0,Northeast,9800.0,"40.630598000000, -111.571140000000"
2009-11-23,Logan,Skier,Unknown,21,7200.0,North,9400.0,"41.891544000000, -111.661777000000"
2009-12-06,Logan,Snowboarder,Unknown,11,1200.0,North,8200.0,"41.891799000000, -111.644697000000"
2009-12-07,Salt Lake,Skier,Unknown,12,9600.0,Northeast,9400.0,"0.000000000000, 0.000000000000"
2009-12-08,Salt Lake,Natural,Facets,6,1800.0,North,9900.0,"40.599030000000, -111.628904000000"
2009-12-09,Skyline,Snowmobiler,Facets,42,4200.0,East,9500.0,"39.610019000000, -111.311674000000"
2009-12-12,Salt Lake,Skier,Facets,13,2400.0,North,9200.0,"40.593975000000, -111.622785000000"
2009-12-12,Salt Lake,Skier,Facets,13,1500.0,Northeast,10000.0,"40.602321000000, -111.631565000000"
2009-12-12,Salt Lake,Skier,Facets,16,600.0,West,9200.0,"40.605677000000, -111.623325000000"
2009-12-13,Provo,Natural,Facets,15,6000.0,Northwest,6100.0,"40.350927000000, -111.577749000000"
2009-12-13,Salt Lake,Natural,Unknown,14,7200.0,Northeast,9900.0,"40.638935000000, -111.576977000000"
2009-12-13,Salt Lake,Natural,Facets,16,3600.0,Northeast,9400.0,"40.645675000000, -111.597877000000"
2009-12-13,Logan,Snowboarder,Facets,18,1200.0,Northeast,8200.0,"41.889180000000, -111.641994000000"
