OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,COMPLEX_INCNUM,IRWINID,FIRE_NUM,DECADES,SHAPE_Length,SHAPE_Area
23488,1975,CA,CCO,LAC, ,00000000,1975/06/20 00:00:00+00,,14,,1,60.338219,,,,,00000000,1970,3171.97105445096,356781.21337004
23489,1975,CA,CCO,LAC, ,00000000,1975/07/03 00:00:00+00,,14,,1,26.879135,,,,,00000000,1970,2351.97163934954,158996.96596985
23490,1975,CA,CCO,LAC, ,00000000,1975/09/15 00:00:00+00,,14,,1,5.2896776,,,,,00000000,1970,862.568991497916,31338.3452653035
23491,1945,CA,USF,KNF,UKONOM TRAIL,00000000,1945/08/06 00:00:00+00,,1,,1,13.055276,,,,,00000206,,1165.97128856435,94379.3511127901
23492,1945,CA,USF,KNF,BURNEY VALLEY,00000000,1945/08/06 00:00:00+00,,1,,1,12.07669,,,,,00000207,,1285.44859431846,87387.1619546577
23493,1945,CA,USF,KNF,ROBINSON GULCH #1,00000000,1945/08/06 00:00:00+00,,1,,1,15.063102,,,,,00000210,,1233.34917919748,108149.359745986
23494,1945,CA,USF,KNF,POISON HOLE,00000000,1945/08/06 00:00:00+00,,1,,1,27.139784,,,,,00000219,,2089.84365634555,195672.116667279
23495,1945,CA,USF,KNF,BIG CLIFF #2,00000000,1945/08/06 00:00:00+00,,1,,1,12.047863,,,,,00000226,,1450.29816802064,86465.4873583985
23496,1945,CA,USF,KNF,DEADMAN GULCH,00000000,1945/08/06 00:00:00+00,,1,,1,19.922422,,,,,00000231,,1505.13019269808,143438.236270135
23497,1945,CA,USF,KNF,LAKE,00000000,1945/08/29 00:00:00+00,,1,,1,35.048771,,,,,00000266,,2227.19747412782,253691.050104605
23498,1945,CA,USF,KNF,MIDDLE CREEK,00000000,1945/08/29 00:00:00+00,,1,,1,22.274145,,,,,00000275,,1741.48113532163,162750.013593625
23499,1945,CA,USF,KNF,THOMAS RANCH,00000000,1945/09/06 00:00:00+00,,9,,1,315.48413,,,,,00000278,,6955.44813347209,2299130.33291977
23500,1946,CA,CDF,TGU,MCKENZY,00000000,1946/07/06 00:00:00+00,,14,,1,449.20325,,,,,00000093,,7282.04381592421,3093190.82341353
23501,1946,CA,CDF,TGU,JEFFCOAT,00000000,1946/09/11 00:00:00+00,,14,,1,388.03867,,,,,00000190,,7899.86671907118,2713024.92322981
23502,1946,CA,CCO,VNC,REEVES,00000000,1946/11/01 00:00:00+00,,14,,1,35.457745,,,,,00000000,,2040.76080103489,211507.599810304
23503,1946,CA,CCO,VNC,OJAI AVENUE,00000000,1946/06/01 00:00:00+00,,14,,1,21.603525,,,,,00000000,,1754.22664501719,128752.239589942
23504,1946,CA,CCO,VNC,WILEY CANYON,00000000,1946/11/02 00:00:00+00,,14,,1,21266.115,,,,,00000000,,80042.6717936807,126544252.792971
23505,1946,CA,USF,LPF, ,00000000,,,9,,1,3501.2068,,,,,00000021,,22725.131301182,21357406.9185814
23506,1946,CA,USF,BDF, ,00000000,,,14,,1,612.35712,,,,,00000000,,9987.40329671623,3641232.17473599
23507,1913,CA,USF,CNF, ,00000000,,,9,,1,99.041245,,,,,00000050,,3066.7206618395,567920.627193902
23508,1913,CA,USF,CNF, ,00000000,,,9,,1,69.892807,,,,,00000051,,2540.57118209512,400603.146868743
23509,1913,CA,USF,CNF, ,00000000,,,9,,1,1546.657,,,,,00000047,,13328.7646741565,8923179.33981963
23510,1913,CA,USF,CNF, ,00000000,,,14,,1,449.15054,,,,,00000003,,7381.11739031892,2632715.23991142
23511,1913,CA,USF,SRF,N/A,00000000,1913/01/31 00:00:00+00,,14,,1,4.9782219,,,,,00000011,,673.562863910194,36011.3632964464
23512,1913,CA,USF,SRF,N/A,00000000,1913/02/01 00:00:00+00,,14,,1,4.978344,,,,,00000012,,676.595290573155,36335.9364658044
23513,1913,CA,USF,SRF,N/A,00000000,1913/08/20 00:00:00+00,,14,,1,19.912983,,,,,00000013,,1352.31843902854,145158.115819462
23514,1913,CA,USF,SRF, ,00000000,1913/10/27 00:00:00+00,,9,,1,7.9664483,,,,,00301009,,841.177594064626,56164.126872581
23515,1913,CA,USF,SRF, ,00000000,1913/10/30 00:00:00+00,,14,,1,4.9787679,,,,,00301010,,667.961098369835,35414.984149387
23516,1913,CA,USF,SRF, ,00000000,1913/10/30 00:00:00+00,,14,,1,6.9705768,,,,,00400747,,779.423330565949,48220.304637911
23517,1913,CA,USF,SRF, ,00000000,1913/08/03 00:00:00+00,,14,,1,5.4769554,,,,,00400794,,693.25186680745,38147.4259199144
23518,1913,CA,USF,SRF, ,00000000,1913/07/07 00:00:00+00,,14,,1,2.9873466,,,,,00400822,,512.494914061505,20847.8922963237
23519,1913,CA,USF,SRF, ,00000000,1913/10/27 00:00:00+00,,14,,1,278.81555,,,,,00400830,,4959.67169727406,1952489.95777003
23520,1913,CA,USF,SRF, ,00000000,1913/10/25 00:00:00+00,,14,,1,64.724312,,,,,00400834,,2387.8514901354,452582.573116534
23521,1914,CA,USF,BDF, ,00000000,,,14,,1,31.625111,,,,,00000000,,1817.04931648039,186511.022983362
23522,1914,CA,USF,BDF, ,00000000,,,14,,1,66.59819,,,,,00000000,,2623.13727710949,392737.15022851
23523,1914,CA,USF,BDF, ,00000000,,,14,,1,361.62,,,,,00000000,,5533.58544820387,2131343.31569125
23524,1914,CA,USF,BDF, ,00000000,,,14,,1,621.75604,,,,,00000000,,7295.583883324,3664245.82584218
23525,1922,CA,USF,SHF, ,00000000,,,9,,1,1148.0936,,,,,00000560,,12470.0820532279,8183738.29483806
23526,1922,CA,USF,SHF, ,00000000,,,1,,1,256.49698,,,,,00000013,,5763.60440180343,1818387.68000118
23527,1917,CA,USF,CNF, ,00000000,,,14,,1,3164.0105,,,,,00000012,,25205.6307592131,18461709.8653485
23528,1917,CA,USF,LNF, ,00000000,,,14,,1,270.41791,,,,,00000080,,6182.98145285574,1909791.11165557
23529,1931,CA,USF,SHF, ,00000000,,,9,,1,75.843834,,,,,00000510,,4511.47851271758,535826.00233289
23530,1931,CA,USF,SHF, ,00000000,,,9,,1,218.91455,,,,,00000707,,5824.27945342007,1546171.72508937
23531,1947,CA,USF,LNF, ,00000000,,,9,,1,1395.156,,,,,00000072,,16863.1570264088,9716763.84576853
23532,1947,CA,USF,SQF, ,00000000,,,9,,1,55.395451,,,,,00000016,,2348.20556560398,350969.642060654
23533,1947,CA,USF,SQF, ,00000000,,,1,,1,40.251781,,,,,00000004,,2374.2661591413,254257.424844849
23534,1947,CA,USF,SQF, ,00000000,,,9,,1,150.15166,,,,,00000038,,5162.41187967994,937856.616329022
23535,1947,CA,USF,SQF, ,00000000,,,1,,1,140.05602,,,,,00000003,,3834.19383847374,872444.745418089
23536,1911,CA,USF,TNF, ,00000000,,,14,,1,425.81735, ,,,,00000006,,7824.46031279408,2877375.70907807
23537,1913,CA,USF,TNF, ,00000000,,,14,,1,145.06956, ,,,,00000001,,4337.80094139397,984333.572688926
23538,1913,CA,USF,TNF, ,00000000,,,14,,1,1272.7312, ,,,,00000003,,15995.7346590992,8584976.66543383
23539,1947,CA,USF,SQF, ,00000000,,,1,,1,15.84154,,,,,00000008,,1323.95544409539,98363.8381737096
