;Region,Year,;Trigger,;Weak Layer,Depth_inches,Elevation_feet,Vertical_inches,Coordinates,Month,;Aspect,Day
Salt Lake,2017,Natural,New Snow/Old Snow Interface,36,10200.0,6000.0,"40.549254129940, -111.725141989340",2,East,24
Uintas,2017,Natural,Unknown,12,9900.0,960.0,"40.845581900607, -111.059039974500",2,East,26
Provo,2017,Skier,New Snow/Old Snow Interface,10,9200.0,3600.0,"40.417864775525, -111.611759649860",2,East,25
Logan,2017,Natural,New Snow/Old Snow Interface,24,9300.0,8400.0,"41.928959554388, -111.655136699450",2,Southeast,28
Skyline,2017,Skier,New Snow/Old Snow Interface,3,8700.0,360.0,"39.572709719732, -111.344976412400",3,West,7
Salt Lake,2017,Skier,Density Change,16,10200.0,4200.0,"40.593881671426, -111.663118588060",3,Northeast,8
Logan,2017,Unknown,Facets,48,8800.0,4800.0,"41.921413784507, -111.657419015710",3,East,11
Salt Lake,2017,Skier,Density Change,4,9100.0,3600.0,"40.634668064842, -111.562879072780",3,East,14
Logan,2017,Snowboarder,New Snow/Old Snow Interface,12,9200.0,2400.0,"41.893907885290, -111.643452631590",3,North,24
Salt Lake,2017,Skier,New Snow/Old Snow Interface,6,10600.0,7200.0,"40.542251339125, -111.684039818370",3,Northeast,24
Salt Lake,2017,Skier,Graupel,7,9900.0,1200.0,"40.614336835787, -111.644053446410",3,North,25
Logan,2017,Skier,New Snow,6,7200.0,1200.0,"41.687912145252, -111.741964804270",3,North,25
Salt Lake,2017,Snowboarder,New Snow/Old Snow Interface,6,10000.0,3600.0,"40.667162757523, -111.683739410980",3,Northeast,26
Salt Lake,2017,Skier,New Snow/Old Snow Interface,12,10300.0,840.0,"40.524845329544, -111.714334028130",3,Northeast,28
Salt Lake,2017,Skier,New Snow/Old Snow Interface,8,10500.0,3600.0,"40.591894792302, -111.560454355800",3,East,28
Provo,2017,Skier,New Snow,14,10000.0,4800.0,"40.414619247263, -111.630384909250",3,Northeast,31
Logan,2017,Snowboarder,New Snow,10,9700.0,4800.0,"41.914595554701, -111.673386814970",4,North,8
Salt Lake,2017,Natural,Graupel,7,9500.0,3000.0,"40.556561654872, -111.628950933250",4,Southeast,10
Salt Lake,2017,Hiker,New Snow/Old Snow Interface,10,10100.0,2400.0,"40.558715504713, -111.665356623020",4,Northeast,11
Salt Lake,2017,Skier,Unknown,18,8800.0,3000.0,"40.670661711579, -111.597962366680",4,East,15
Salt Lake,2017,Skier,New Snow/Old Snow Interface,3,10000.0,840.0,"40.630654510558, -111.571558701140",4,Northeast,21
Salt Lake,2017,Skier,New Snow/Old Snow Interface,16,10300.0,7200.0,"40.605661184747, -111.644536244020",4,East,25
Salt Lake,2017,Skier,New Snow/Old Snow Interface,10,9000.0,2100.0,"40.614619768834, -111.640255438430",4,Northeast,25
Salt Lake,2017,Skier,New Snow,12,10200.0,4800.0,"40.588563404853, -111.601395594230",4,Northwest,25
Logan,2017,Skier,New Snow,10,7900.0,1200.0,"41.683191270079, -111.727695452310",4,North,26
Salt Lake,2017,Skier,New Snow,8,9300.0,840.0,"40.594665762171, -111.641435610390",4,Southeast,27
Salt Lake,2017,Skier,Density Change,8,10200.0,3600.0,"40.595152019388, -111.652293192490",4,Southeast,27
Salt Lake,2017,Skier,New Snow/Old Snow Interface,10,9700.0,3600.0,"40.606733347719, -111.606444964870",4,Northwest,27
Salt Lake,2017,Skier,Graupel,12,9600.0,2400.0,"40.540709997553, -111.758937822920",4,East,29
Salt Lake,2017,Skier,New Snow/Old Snow Interface,6,8600.0,2400.0,"40.617153875461, -111.621812569260",4,East,29
Uintas,2017,Skier,Wet grains,3,11500.0,15000.0,"40.702165444155, -110.902638873470",6,East,2
Salt Lake,2017,Unknown,Facets,24,10100.0,960.0,"40.872541583318, -111.516723620030",11,North,18
Uintas,2017,Natural,Facets,42,11000.0,6000.0,"40.683787701008, -110.894215094180",11,Northeast,17
Salt Lake,2017,Skier,New Snow,12,10400.0,2400.0,"40.579278859689, -111.597404467210",12,East,23
Salt Lake,2017,Snowboarder,New Snow/Old Snow Interface,18,9800.0,3600.0,"40.592436953151, -111.608294235790",12,Northeast,23
Skyline,2017,Natural,Facets,12,9600.0,1200.0,"39.603958902859, -111.284079538920",12,North,25
Uintas,2017,Natural,Unknown,12,9800.0,960.0,"40.428818427799, -111.177713858220",12,Northeast,26
Uintas,2017,Snowmobiler,Facets,36,9800.0,3600.0,"40.462647000681, -111.150462614640",12,Northeast,26
Uintas,2017,Snowmobiler,Facets,24,8000.0,480.0,"40.512030170174, -111.069695936760",12,Northeast,26
Salt Lake,2017,Skier,Facets,12,9800.0,840.0,"40.613363192374, -111.667407978550",12,North,26
Uintas,2017,Snowmobiler,Facets,48,10200.0,2400.0,"40.390187501296, -111.172049032790",12,Northeast,26
Uintas,2017,Natural,Facets,30,10400.0,3000.0,"40.378444895056, -111.174387919030",12,Northeast,26
Salt Lake,2017,Skier,Depth Hoar,20,9300.0,2400.0,"40.695281180424, -111.604399668320",12,Northeast,27
Uintas,2017,Snowmobiler,Facets,48,10200.0,7200.0,"40.833345069150, -110.960583674050",12,Northeast,27
Uintas,2017,Snowmobiler,Ground Interface,16,8500.0,4800.0,"40.873047870499, -110.993557075290",12,North,26
Salt Lake,2017,Natural,Facets,15,9200.0,4200.0,"40.606987600282, -111.594550596800",12,Northeast,27
Salt Lake,2017,Skier,New Snow/Old Snow Interface,24,9400.0,6000.0,"40.666723054767, -111.600859152410",12,East,28
Logan,2017,Natural,Facets,12,7100.0,360.0,"41.948414961481, -111.587555395710",12,Southwest,29
Salt Lake,2017,Skier,Facets,12,9700.0,240.0,"40.593127982275, -111.617987739160",12,North,27
Logan,2017,Natural,Facets,8,7000.0,360.0,"41.948469322070, -111.589164721110",12,Southeast,29
Salt Lake,2017,Skier,Facets,20,10200.0,6000.0,"40.599811253471, -111.612939821820",12,Northeast,29
Skyline,2017,Natural,Facets,10,10200.0,3000.0,"39.504045257638, -111.314776750550",12,North,25
Salt Lake,2017,Natural,Depth Hoar,6,7100.0,120.0,"40.693313053216, -111.671390520680",12,Northeast,24
Logan,2017,Unknown,Facets,48,9200.0,3600.0,"41.976266941901, -111.657249914740",12,East,29
Salt Lake,2018,Unknown,Unknown,24,8900.0,7200.0,"40.671325930106, -111.717438685030",1,Northeast,7
Salt Lake,2018,Skier,Facets,12,9300.0,2400.0,"40.607623944579, -111.637148434570",1,Northeast,7
Salt Lake,2018,Skier,New Snow/Old Snow Interface,14,10300.0,3600.0,"40.593228864162, -111.560068117720",1,East,10
Salt Lake,2018,Skier,Facets,12,10200.0,4800.0,"40.599171881764, -111.641650187130",1,North,10
Salt Lake,2018,Natural,Unknown,24,9300.0,720.0,"40.547591044564, -111.694521891220",1,East,11
Salt Lake,2018,Snowmobiler,Depth Hoar,24,9300.0,3600.0,"40.563103462943, -111.577644925810",1,Northeast,13
Skyline,2018,Natural,Facets,10,10400.0,3000.0,"39.412583191543, -111.380681978800",1,North,10
Salt Lake,2018,Snowboarder,Facets,30,9200.0,840.0,"40.594746593131, -111.622357057680",1,Northwest,13
Logan,2018,Snowmobiler,Facets,36,9200.0,1080.0,"41.905013448353, -111.668987261390",1,Northeast,13
Salt Lake,2018,Natural,New Snow/Old Snow Interface,12,10200.0,12000.0,"40.607098205311, -111.643276035670",1,Northeast,13
Uintas,2018,Skier,Facets,18,9900.0,8400.0,"40.823736692549, -111.086904989820",1,Northeast,13
Uintas,2018,Snowmobiler,Facets,72,10000.0,8400.0,"40.871024041854, -110.973243700610",1,Northeast,14
Salt Lake,2018,Skier,Facets,30,9800.0,3600.0,"40.599636366220, -111.622166620830",1,West,16
Uintas,2018,Snowmobiler,Facets,36,10500.0,3600.0,"40.840618034883, -111.017231928440",1,Northeast,15
Salt Lake,2018,Skier,New Snow/Old Snow Interface,36,9500.0,9600.0,"40.660228645704, -111.714777933700",1,North,20
Salt Lake,2018,Snowmobiler,Ground Interface,30,9800.0,3000.0,"40.580655631886, -111.557698989820",1,Northeast,21
Salt Lake,2018,Snowmobiler,Facets,30,9800.0,6000.0,"40.581453997089, -111.558587538350",1,Northeast,21
Salt Lake,2018,Natural,Unknown,24,9200.0,1200.0,"40.608087708489, -111.632080065350",1,Northwest,21
Uintas,2018,Snowmobiler,Facets,36,10400.0,5400.0,"40.839131646802, -111.015408026310",1,Northeast,23
Logan,2018,Skier,New Snow/Old Snow Interface,6,9000.0,1200.0,"41.959616751464, -111.621565806020",1,Northeast,23
Salt Lake,2018,Skier,Facets,24,9300.0,3600.0,"40.680719387273, -111.601470696060",1,Northeast,24
Skyline,2018,Snowmobiler,Facets,36,10100.0,2100.0,"39.296535516682, -111.432502256970",1,Northeast,24
Uintas,2018,Skier,New Snow,15,10200.0,7200.0,"40.846156102506, -111.060785342440",1,North,25
Salt Lake,2018,Skier,Facets,36,9700.0,12000.0,"40.610798855649, -111.628625380140",1,East,26
Salt Lake,2018,Natural,Facets,54,9700.0,12000.0,"40.669099551347, -111.688374268160",1,Northwest,25
Salt Lake,2018,Unknown,Facets,36,9600.0,6000.0,"40.586092797707, -111.536121355660",1,Northeast,27
Uintas,2018,Snowmobiler,Depth Hoar,48,10400.0,4800.0,"40.860493765551, -110.730299043670",2,Northeast,1
Uintas,2018,Snowmobiler,Facets,36,8800.0,3600.0,"40.861169385986, -111.095015989880",1,Northeast,31
Logan,2018,Natural,New Snow/Old Snow Interface,12,9200.0,5400.0,"41.912745924017, -111.653001295660",1,East,30
Salt Lake,2018,Skier,New Snow/Old Snow Interface,18,9800.0,9600.0,"40.597596490304, -111.625299440950",2,South,15
Uintas,2018,Skier,New Snow/Old Snow Interface,24,9800.0,3600.0,"40.748622219400, -111.135281311610",2,Northeast,16
Moab,2018,Natural,Facets,24,11300.0,4800.0,"38.444849696911, -109.249291407210",2,Northeast,15
Moab,2018,Natural,Facets,24,11400.0,3600.0,"38.445387480475, -109.241738306620",2,Northwest,15
Salt Lake,2018,Skier,Facets,36,9000.0,3000.0,"40.674160736329, -111.686904417610",2,Northwest,19
SE Idaho,2018,Snowmobiler,Facets,30,8900.0,6000.0,"42.023692268364, -111.573692008510",2,East,19
Salt Lake,2018,Snowboarder,Facets,24,9200.0,15000.0,"40.682978298110, -111.683080660180",2,Northeast,19
Salt Lake,2018,Natural,New Snow,20,10200.0,1200.0,"40.590981294158, -111.628646837820",2,Northeast,19
SE Idaho,2018,Snowmobiler,Facets,24,9000.0,7200.0,"42.025577723511, -111.573972689250",2,East,19
Salt Lake,2018,Skier,Density Change,12,10900.0,9600.0,"40.590550880108, -111.666468056830",2,East,21
Uintas,2018,Skier,Facets,12,10400.0,5400.0,"40.850416708659, -111.068869816400",2,Northeast,23
Salt Lake,2018,Snowboarder,Facets,16,9700.0,3000.0,"40.660732644949, -111.699719645580",2,East,24
Skyline,2018,Skier,Facets,42,10500.0,3600.0,"39.453226365667, -111.376862513160",2,North,24
Moab,2018,Natural,Facets,42,11300.0,9600.0,"38.449380293065, -109.262101637470",2,Northeast,22
Salt Lake,2018,Skier,New Snow/Old Snow Interface,12,10300.0,1200.0,"40.590419071600, -111.607972370720",2,East,25
Salt Lake,2018,Unknown,New Snow,14,9600.0,1800.0,"40.594944417245, -111.646369167160",2,East,25
Salt Lake,2018,Skier,Unknown,10,8600.0,600.0,"40.612314887778, -111.677935110670",2,West,26
Salt Lake,2018,Skier,Ground Interface,24,9200.0,1200.0,"40.607175958825, -111.635556208220",2,Northeast,27
Skyline,2018,Snowmobiler,Facets,30,9900.0,3000.0,"39.273922572475, -111.473464953050",2,North,26
Uintas,2018,Natural,Facets,24,10200.0,4200.0,"40.834813322803, -111.069567190740",2,Northeast,26
Ogden,2018,Snowboarder,Facets,18,8500.0,24000.0,"41.211398262167, -111.877667414540",2,North,28
Ogden,2018,Skier,Facets,24,8500.0,24000.0,"41.213205766894, -111.880311000010",2,Northeast,28
